Brief Date,Position,Ticker,Purchase Date,Shares,Purchased Price,Current Price,Price Difference,Cost Basis,Current Value,Gain Loss,Position Return Percent,Agent
2026-07-15,APPLE-1,AAPL,5/29/24,146,191.00,327.50,136.50,27886.00,47815.00,19929.00,71.47,HERMES
2026-07-15,DISNEY,DIS,8/05/66,268,25.00,97.15,72.15,6700.00,26036.20,19336.20,288.60,HERMES
2026-07-15,NVIDIA,NVDA,5/29/24,204,123.00,212.50,89.50,25092.00,43350.00,18258.00,72.76,HERMES
2026-07-15,AMAZON-1,AMZN,5/29/24,138,181.00,254.96,73.96,24978.00,35184.48,10206.48,40.86,HERMES
2026-07-15,ALPHABET-1,GOOGL,4/21/26,101,336.00,370.92,34.92,33936.00,37462.92,3526.92,10.39,HERMES
2026-07-15,APPLE-2,AAPL,4/28/26,57,266.00,327.50,61.50,15162.00,18667.50,3505.50,23.12,HERMES
2026-07-15,ALPHABET-2,GOOGL,4/28/26,106,349.00,370.92,21.92,36994.00,39317.52,2323.52,6.28,HERMES
2026-07-15,AMAZON-2,AMZN,4/29/26,65,268.00,254.96,-13.04,17420.00,16572.40,-847.60,-4.87,HERMES
2026-07-15,MICROSOFT,MSFT,4/21/26,83,419.00,395.63,-23.37,34777.00,32837.29,-1939.71,-5.58,HERMES
2026-07-15,SNAP,SNAP,2/3/26,1786,6.18,4.76,-1.42,11037.48,8501.36,-2536.12,-22.98,HERMES
