Brief Date,Position,Ticker,Purchase Date,Shares,Purchased Price,Current Price,Price Difference,Cost Basis,Current Value,Gain Loss,Position Return Percent,Agent
2026-07-16,APPLE-1,AAPL,5/29/24,146,191.00,333.26,142.26,27886.00,48655.96,20769.96,74.48,HERMES
2026-07-16,DISNEY,DIS,8/05/66,268,25.00,99.71,74.71,6700.00,26722.28,20022.28,298.84,HERMES
2026-07-16,NVIDIA,NVDA,5/29/24,204,123.00,207.40,84.40,25092.00,42309.60,17217.60,68.62,HERMES
2026-07-16,AMAZON-1,AMZN,5/29/24,138,181.00,249.89,68.89,24978.00,34484.82,9506.82,38.06,HERMES
2026-07-16,APPLE-2,AAPL,4/28/26,57,266.00,333.26,67.26,15162.00,18995.82,3833.82,25.29,HERMES
2026-07-16,ALPHABET-1,GOOGL,4/21/26,101,336.00,354.46,18.46,33936.00,35800.46,1864.46,5.49,HERMES
2026-07-16,ALPHABET-2,GOOGL,4/28/26,106,349.00,354.46,5.46,36994.00,37572.76,578.76,1.56,HERMES
2026-07-16,AMAZON-2,AMZN,4/29/26,65,268.00,249.89,-18.11,17420.00,16242.85,-1177.15,-6.76,HERMES
2026-07-16,MICROSOFT,MSFT,4/21/26,83,419.00,401.10,-17.90,34777.00,33291.30,-1485.70,-4.27,HERMES
2026-07-16,SNAP,SNAP,2/3/26,1786,6.18,4.69,-1.49,11037.48,8376.34,-2661.14,-24.11,HERMES
