Brief Date,Position,Ticker,Purchase Date,Shares,Purchased Price,Current Price,Price Difference,Cost Basis,Current Value,Gain Loss,Position Return Percent,Agent
2026-07-20,APPLE-1,AAPL,5/29/24,146,191.00,326.59,135.59,27886.00,47682.14,19796.14,70.99,HERMES
2026-07-20,DISNEY,DIS,8/05/66,268,25.00,96.41,71.41,6700.00,25837.88,19137.88,285.64,HERMES
2026-07-20,NVIDIA,NVDA,5/29/24,204,123.00,203.28,80.28,25092.00,41469.12,16377.12,65.27,HERMES
2026-07-20,AMAZON-1,AMZN,5/29/24,138,181.00,249.99,68.99,24978.00,34498.62,9520.62,38.12,HERMES
2026-07-20,APPLE-2,AAPL,4/28/26,57,266.00,326.59,60.59,15162.00,18615.63,3453.63,22.78,HERMES
2026-07-20,ALPHABET-1,GOOGL,4/21/26,101,336.00,351.99,15.99,33936.00,35550.99,1614.99,4.76,HERMES
2026-07-20,ALPHABET-2,GOOGL,4/28/26,106,349.00,351.99,2.99,36994.00,37310.94,316.94,0.86,HERMES
2026-07-20,AMAZON-2,AMZN,4/29/26,65,268.00,249.99,-18.01,17420.00,16249.35,-1170.65,-6.72,HERMES
2026-07-20,MICROSOFT,MSFT,4/21/26,83,419.00,402.29,-16.71,34777.00,33390.07,-1386.93,-3.99,HERMES
2026-07-20,SNAP,SNAP,2/3/26,1786,6.18,4.56,-1.62,11037.48,8144.16,-2893.32,-26.21,HERMES
